Month,S&P500,Dividends,Earnings,CPI,10-year rate,Gold,President age,Temperature
07/1910,8.64,0.04,0.06,9.9,0.0395000,20.67,634,-0.34
08/1910,8.85,0.04,0.06,9.8,0.0395000,20.67,635,-0.36
09/1910,8.91,0.04,0.06,9.7,0.0396000,20.67,636,-0.36
10/1910,9.32,0.04,0.06,9.42,0.0396000,20.67,637,-0.38
11/1910,9.31,0.04,0.06,9.23,0.0397000,20.67,638,-0.54
12/1910,9.05,0.04,0.06,9.23,0.0397000,20.67,639,-0.67
01/1911,9.27,0.04,0.06,9.23,0.0398000,20.67,640,-0.63
02/1911,9.43,0.04,0.06,8.94,0.0398000,20.67,641,-0.58
03/1911,9.32,0.04,0.06,9.04,0.0399000,20.67,642,-0.6
04/1911,9.28,0.04,0.06,8.75,0.0399000,20.67,643,-0.53
05/1911,9.48,0.04,0.06,8.75,0.0399000,20.67,644,-0.52
06/1911,9.67,0.04,0.06,8.75,0.0399000,20.67,645,-0.48
07/1911,9.63,0.04,0.05,8.85,0.0400000,20.67,646,-0.41
08/1911,9.17,0.04,0.05,9.13,0.0400000,20.67,647,-0.42
09/1911,8.67,0.04,0.05,9.23,0.0400000,20.67,648,-0.37
10/1911,8.72,0.04,0.05,9.23,0.0400000,20.67,649,-0.23
11/1911,9.07,0.04,0.05,9.13,0.0401000,20.67,650,-0.18
12/1911,9.11,0.04,0.05,9.04,0.0401000,20.67,651,-0.22
01/1912,9.12,0.04,0.05,9.13,0.0401000,20.67,652,-0.26
02/1912,9.04,0.04,0.05,9.23,0.0405000,20.67,653,-0.12
03/1912,9.3,0.04,0.05,9.42,0.0408000,20.67,654,-0.35
04/1912,9.59,0.04,0.05,9.7,0.0412000,20.67,655,-0.2
05/1912,9.58,0.04,0.05,9.7,0.0416000,20.67,656,-0.21
06/1912,9.58,0.04,0.05,9.61,0.0419000,20.67,657,-0.26
07/1912,9.59,0.04,0.05,9.61,0.0423000,20.67,658,-0.44
08/1912,9.81,0.04,0.06,9.7,0.0427000,20.67,659,-0.55
09/1912,9.86,0.04,0.06,9.8,0.0430000,20.67,660,-0.51
10/1912,9.84,0.04,0.06,9.8,0.0434000,20.67,661,-0.56
11/1912,9.73,0.04,0.06,9.8,0.0438000,20.67,662,-0.38
12/1912,9.38,0.04,0.06,9.7,0.0441000,20.67,663,-0.43
01/1913,9.3,0.04,0.06,9.8,0.0445000,20.67,664,-0.42
02/1913,8.97,0.04,0.06,9.8,0.0443000,20.67,665,-0.43
03/1913,8.8,0.04,0.06,9.8,0.0440000,20.67,675,-0.43
04/1913,8.79,0.04,0.06,9.8,0.0438000,20.67,676,-0.39
05/1913,8.55,0.04,0.06,9.7,0.0435000,20.67,677,-0.47
06/1913,8.12,0.04,0.06,9.8,0.0433000,20.67,678,-0.48
07/1913,8.23,0.04,0.05,9.9,0.0431000,20.67,679,-0.36
08/1913,8.45,0.04,0.05,9.9,0.0428000,20.67,680,-0.34
09/1913,8.53,0.04,0.05,10,0.0426000,20.67,681,-0.35
10/1913,8.26,0.04,0.05,10,0.0423000,20.67,682,-0.33
11/1913,8.05,0.04,0.05,10.1,0.0421000,20.67,683,-0.19
12/1913,8.04,0.04,0.05,10,0.0418000,20.67,684,-0.03
01/1914,8.37,0.04,0.05,10,0.0416000,20.67,685,0.04
02/1914,8.48,0.04,0.05,9.9,0.0417000,20.67,686,-0.1
03/1914,8.32,0.04,0.05,9.9,0.0417000,20.67,687,-0.22
04/1914,8.12,0.04,0.05,9.8,0.0418000,20.67,688,-0.29
05/1914,8.17,0.04,0.05,9.9,0.0419000,20.67,689,-0.23
06/1914,8.13,0.04,0.05,9.9,0.0419000,20.67,690,-0.26
07/1914,7.68,0.04,0.05,10,0.0420000,20.67,691,-0.24
08/1914,7.68,0.04,0.05,10.2,0.0421000,20.67,692,-0.14
09/1914,7.68,0.04,0.05,10.2,0.0421000,20.67,693,-0.13
10/1914,7.68,0.04,0.04,10.1,0.0422000,20.67,694,-0.04
11/1914,7.68,0.04,0.04,10.2,0.0423000,20.67,695,-0.18
12/1914,7.35,0.04,0.04,10.1,0.0423000,20.67,696,-0.08
01/1915,7.48,0.04,0.05,10.1,0.0424000,20.67,697,-0.17
02/1915,7.38,0.04,0.05,10,0.0422000,20.67,698,0
03/1915,7.57,0.04,0.05,9.9,0.0421000,20.67,699,-0.09
04/1915,8.14,0.04,0.05,10,0.0419000,20.67,700,0.06
05/1915,7.95,0.04,0.06,10.1,0.0418000,20.67,701,-0.06
06/1915,8.04,0.04,0.06,10.1,0.0416000,20.67,702,-0.2
07/1915,8.01,0.04,0.06,10.1,0.0415000,20.67,703,-0.1
08/1915,8.35,0.04,0.06,10.1,0.0413000,20.67,704,-0.19
09/1915,8.66,0.04,0.07,10.1,0.0411000,20.67,705,-0.17
10/1915,9.14,0.04,0.07,10.2,0.0410000,20.67,706,-0.24
11/1915,9.46,0.04,0.07,10.3,0.0408000,20.67,707,-0.12
12/1915,9.48,0.04,0.07,10.3,0.0407000,20.67,708,-0.16
01/1916,9.33,0.04,0.08,10.4,0.0405000,20.67,709,-0.09
02/1916,9.2,0.04,0.08,10.4,0.0407000,20.67,710,-0.12
03/1916,9.17,0.04,0.09,10.5,0.0408000,20.67,711,-0.27
04/1916,9.07,0.04,0.09,10.6,0.0410000,20.67,712,-0.29
05/1916,9.27,0.04,0.1,10.7,0.0411000,20.67,713,-0.32
06/1916,9.36,0.04,0.1,10.8,0.0413000,20.67,714,-0.46
07/1916,9.23,0.04,0.1,10.8,0.0414000,20.67,715,-0.36
08/1916,9.3,0.04,0.11,10.9,0.0416000,20.67,716,-0.25
09/1916,9.68,0.04,0.11,11.1,0.0417000,20.67,717,-0.32
10/1916,9.98,0.04,0.12,11.3,0.0419000,20.67,718,-0.27
11/1916,10.21,0.05,0.12,11.5,0.0420000,20.67,719,-0.39
12/1916,9.8,0.05,0.13,11.6,0.0422000,20.67,720,-0.79
01/1917,9.57,0.05,0.13,11.7,0.0423000,20.67,721,-0.58
02/1917,9.03,0.05,0.12,12,0.0426000,20.67,722,-0.61
03/1917,9.31,0.05,0.12,12,0.0429000,20.67,723,-0.6
04/1917,9.17,0.05,0.12,12.6,0.0432000,20.67,724,-0.5
05/1917,8.86,0.05,0.12,12.8,0.0434000,20.67,725,-0.55
06/1917,9.04,0.05,0.12,13,0.0437000,20.67,726,-0.43
07/1917,8.79,0.05,0.12,12.8,0.0440000,20.67,727,-0.25
08/1917,8.53,0.05,0.11,13,0.0443000,20.67,728,-0.21
09/1917,8.12,0.05,0.11,13.3,0.0446000,20.67,729,-0.18
10/1917,7.68,0.06,0.11,13.5,0.0449000,20.67,730,-0.4
11/1917,7.04,0.06,0.11,13.5,0.0451000,20.67,731,-0.28
12/1917,6.8,0.06,0.11,13.7,0.0454000,20.67,732,-0.67
01/1918,7.21,0.06,0.1,14,0.0457000,20.67,733,-0.42
02/1918,7.43,0.06,0.1,14.1,0.0456000,20.67,734,-0.31
03/1918,7.28,0.06,0.1,14,0.0456000,20.67,735,-0.24
04/1918,7.21,0.05,0.1,14.2,0.0455000,20.67,736,-0.45
05/1918,7.44,0.05,0.1,14.5,0.0455000,20.67,737,-0.45
06/1918,7.45,0.05,0.09,14.7,0.0454000,20.67,738,-0.35
07/1918,7.51,0.05,0.09,15.1,0.0454000,20.67,739,-0.31
08/1918,7.58,0.05,0.09,15.4,0.0453000,20.67,740,-0.29
09/1918,7.54,0.05,0.09,15.7,0.0452000,20.67,741,-0.15
10/1918,7.86,0.05,0.09,16,0.0452000,20.67,742,-0.05
11/1918,8.06,0.05,0.08,16.3,0.0451000,20.67,743,-0.1
12/1918,7.9,0.05,0.08,16.5,0.0451000,20.67,744,-0.27
01/1919,7.85,0.05,0.08,16.5,0.0450000,20.67,745,-0.2
02/1919,7.88,0.05,0.08,16.2,0.0454000,20.67,746,-0.23
03/1919,8.12,0.05,0.08,16.4,0.0458000,20.67,747,-0.19
04/1919,8.39,0.05,0.08,16.7,0.0462000,20.67,748,-0.13
05/1919,8.97,0.05,0.08,16.9,0.0466000,20.67,749,-0.28
06/1919,9.21,0.05,0.08,16.9,0.0470000,20.67,750,-0.37
07/1919,9.51,0.05,0.08,17.4,0.0474000,20.67,751,-0.29
08/1919,8.87,0.05,0.08,17.7,0.0477000,20.67,752,-0.32
09/1919,9.01,0.05,0.08,17.8,0.0481000,20.67,753,-0.22
10/1919,9.47,0.04,0.08,18.1,0.0485000,20.67,754,-0.18
11/1919,9.19,0.04,0.08,18.5,0.0489000,20.67,755,-0.41
12/1919,8.92,0.04,0.08,18.9,0.0493000,20.67,756,-0.41
01/1920,8.83,0.04,0.08,19.3,0.0497000,20.67,757,-0.22
02/1920,8.1,0.04,0.08,19.5,0.0498000,20.67,758,-0.22
03/1920,8.67,0.04,0.07,19.7,0.0499000,20.67,759,-0.07
04/1920,8.6,0.04,0.07,20.3,0.0500000,20.67,760,-0.26
05/1920,8.06,0.04,0.07,20.6,0.0501000,20.67,761,-0.26
06/1920,7.92,0.04,0.07,20.9,0.0502000,20.67,762,-0.36
07/1920,7.91,0.04,0.07,20.8,0.0503000,20.67,763,-0.31
08/1920,7.6,0.04,0.07,20.3,0.0504000,20.67,764,-0.24
09/1920,7.87,0.04,0.07,20,0.0505000,20.67,765,-0.19
10/1920,7.88,0.04,0.07,19.9,0.0506000,20.67,766,-0.26
11/1920,7.48,0.04,0.07,19.8,0.0507000,20.67,767,-0.26
12/1920,6.81,0.04,0.07,19.4,0.0508000,20.67,768,-0.43
01/1921,7.11,0.04,0.06,19,0.0509000,20.67,769,-0.02
02/1921,7.06,0.04,0.06,18.4,0.0502000,20.67,770,-0.18
03/1921,6.88,0.04,0.06,18.3,0.0496000,20.67,664,-0.22
04/1921,6.91,0.04,0.05,18.1,0.0489000,20.67,665,-0.29
05/1921,7.12,0.04,0.05,17.7,0.0483000,20.67,666,-0.28
06/1921,6.55,0.04,0.05,17.6,0.0476000,20.67,667,-0.27
07/1921,6.53,0.04,0.04,17.7,0.0470000,20.67,668,-0.14
08/1921,6.45,0.04,0.04,17.7,0.0463000,20.67,669,-0.23
09/1921,6.61,0.04,0.03,17.5,0.0456000,20.67,670,-0.16
10/1921,6.7,0.04,0.03,17.5,0.0450000,20.67,671,-0.02
11/1921,7.06,0.04,0.03,17.4,0.0443000,20.67,672,-0.13
12/1921,7.31,0.04,0.02,17.3,0.0437000,20.67,673,-0.16
01/1922,7.3,0.04,0.03,16.9,0.0430000,20.67,674,-0.33
02/1922,7.46,0.04,0.03,16.9,0.0431000,20.67,675,-0.43
03/1922,7.74,0.04,0.03,16.7,0.0431000,20.67,676,-0.13
04/1922,8.21,0.04,0.04,16.7,0.0432000,20.67,677,-0.23
05/1922,8.53,0.04,0.04,16.7,0.0432000,20.67,678,-0.33
06/1922,8.45,0.04,0.04,16.7,0.0433000,20.67,679,-0.32
07/1922,8.51,0.04,0.04,16.8,0.0433000,20.67,680,-0.25
08/1922,8.83,0.04,0.05,16.6,0.0434000,20.67,681,-0.3
09/1922,9.06,0.04,0.05,16.6,0.0434000,20.67,682,-0.32
10/1922,9.26,0.04,0.05,16.7,0.0435000,20.67,683,-0.31
11/1922,8.8,0.04,0.05,16.8,0.0435000,20.67,684,-0.13
12/1922,8.78,0.04,0.06,16.9,0.0436000,20.67,685,-0.18
01/1923,8.9,0.04,0.06,16.8,0.0436000,20.67,686,-0.29
02/1923,9.28,0.04,0.06,16.8,0.0434000,20.67,687,-0.37
03/1923,9.43,0.04,0.06,16.8,0.0431000,20.67,688,-0.34
04/1923,9.1,0.04,0.07,16.9,0.0429000,20.67,689,-0.39
05/1923,8.67,0.04,0.07,16.9,0.0426000,20.67,690,-0.34
06/1923,8.34,0.04,0.07,17,0.0424000,20.67,691,-0.25
07/1923,8.06,0.04,0.07,17.2,0.0421000,20.67,692,-0.29
08/1923,8.1,0.04,0.07,17.1,0.0419000,20.67,613,-0.29
09/1923,8.15,0.04,0.08,17.2,0.0416000,20.67,614,-0.27
10/1923,8.03,0.04,0.08,17.3,0.0414000,20.67,615,-0.11
11/1923,8.27,0.04,0.08,17.3,0.0411000,20.67,616,0.01
12/1923,8.55,0.04,0.08,17.3,0.0409000,20.67,617,-0.02
01/1924,8.83,0.04,0.08,17.3,0.0406000,20.67,618,-0.22
02/1924,8.87,0.04,0.08,17.2,0.0404000,20.67,619,-0.23
03/1924,8.7,0.04,0.08,17.1,0.0403000,20.67,620,-0.06
04/1924,8.5,0.04,0.08,17,0.0401000,20.67,621,-0.31
05/1924,8.47,0.04,0.08,17,0.0399000,20.67,622,-0.18
06/1924,8.63,0.05,0.08,17,0.0398000,20.67,623,-0.22
07/1924,9.03,0.05,0.08,17.1,0.0396000,20.67,624,-0.26
08/1924,9.34,0.05,0.08,17,0.0394000,20.67,625,-0.33
09/1924,9.25,0.05,0.08,17.1,0.0393000,20.67,626,-0.3
10/1924,9.13,0.05,0.08,17.2,0.0391000,20.67,627,-0.33
11/1924,9.64,0.05,0.08,17.2,0.0389000,20.67,628,-0.19
12/1924,10.16,0.05,0.08,17.3,0.0388000,20.67,629,-0.41
01/1925,10.58,0.05,0.08,17.3,0.0386000,20.67,630,-0.36
02/1925,10.67,0.05,0.08,17.2,0.0385000,20.67,631,-0.38
03/1925,10.39,0.05,0.08,17.3,0.0383000,20.67,632,-0.24
04/1925,10.28,0.05,0.09,17.2,0.0382000,20.67,633,-0.25
05/1925,10.61,0.05,0.09,17.3,0.0380000,20.67,634,-0.3
06/1925,10.8,0.05,0.09,17.5,0.0379000,20.67,635,-0.32
07/1925,11.1,0.05,0.09,17.7,0.0377000,20.67,636,-0.27
08/1925,11.25,0.05,0.1,17.7,0.0376000,20.67,637,-0.15
09/1925,11.51,0.05,0.1,17.7,0.0374000,20.67,638,-0.16
10/1925,11.89,0.05,0.1,17.7,0.0373000,20.67,639,-0.17
11/1925,12.26,0.05,0.1,18,0.0371000,20.67,640,0.04
12/1925,12.46,0.05,0.1,17.9,0.0370000,20.67,641,0.09
01/1926,12.65,0.05,0.1,17.9,0.0368000,20.67,642,0.2
02/1926,12.67,0.05,0.1,17.9,0.0365000,20.67,643,0.06
03/1926,11.81,0.05,0.1,17.8,0.0362000,20.67,644,0.11
04/1926,11.48,0.05,0.1,17.9,0.0360000,20.67,645,-0.12
05/1926,11.56,0.05,0.1,17.8,0.0357000,20.67,646,-0.22
06/1926,12.11,0.05,0.1,17.7,0.0354000,20.67,647,-0.22
07/1926,12.62,0.05,0.1,17.5,0.0351000,20.67,648,-0.24
08/1926,13.12,0.06,0.1,17.4,0.0348000,20.67,649,-0.13
09/1926,13.32,0.06,0.1,17.5,0.0345000,20.67,650,-0.12
10/1926,13.02,0.06,0.1,17.6,0.0343000,20.67,651,-0.09
11/1926,13.19,0.06,0.1,17.7,0.0340000,20.67,652,-0.04
12/1926,13.49,0.06,0.1,17.7,0.0337000,20.67,653,-0.27
01/1927,13.4,0.06,0.1,17.5,0.0334000,20.67,654,-0.27
02/1927,13.66,0.06,0.1,17.4,0.0334000,20.67,655,-0.18
03/1927,13.87,0.06,0.1,17.3,0.0334000,20.67,656,-0.36
04/1927,14.21,0.06,0.1,17.3,0.0334000,20.67,657,-0.31
05/1927,14.7,0.06,0.1,17.4,0.0334000,20.67,658,-0.25
06/1927,14.89,0.06,0.1,17.6,0.0334000,20.67,659,-0.26
07/1927,15.22,0.06,0.1,17.3,0.0334000,20.67,660,-0.17
08/1927,16.03,0.06,0.1,17.2,0.0333000,20.67,661,-0.2
09/1927,16.94,0.06,0.1,17.3,0.0333000,20.67,662,-0.1
10/1927,16.68,0.06,0.09,17.4,0.0333000,20.67,663,0
11/1927,17.06,0.06,0.09,17.3,0.0333000,20.67,664,-0.03
12/1927,17.46,0.06,0.09,17.3,0.0333000,20.67,665,-0.32
01/1928,17.53,0.06,0.09,17.3,0.0333000,20.67,666,0
02/1928,17.32,0.07,0.1,17.1,0.0335000,20.67,667,-0.07
03/1928,18.25,0.07,0.1,17.1,0.0338000,20.67,668,-0.26
04/1928,19.4,0.07,0.1,17.1,0.0340000,20.67,669,-0.27
05/1928,20,0.07,0.1,17.2,0.0342000,20.67,670,-0.29
06/1928,19.02,0.07,0.1,17.1,0.0344000,20.67,671,-0.36
07/1928,19.16,0.07,0.11,17.1,0.0347000,20.67,672,-0.18
08/1928,19.78,0.07,0.11,17.1,0.0349000,20.67,673,-0.21
09/1928,21.17,0.07,0.11,17.3,0.0351000,20.67,674,-0.18
10/1928,21.6,0.07,0.11,17.2,0.0353000,20.67,675,-0.17
11/1928,23.06,0.07,0.11,17.2,0.0356000,20.67,676,-0.08
12/1928,23.15,0.07,0.12,17.1,0.0358000,20.67,677,-0.17
01/1929,24.86,0.07,0.12,17.1,0.0360000,20.67,678,-0.46
02/1929,24.99,0.07,0.12,17.1,0.0357000,20.67,679,-0.59
03/1929,25.43,0.07,0.12,17,0.0355000,20.67,655,-0.31
04/1929,25.28,0.07,0.12,16.9,0.0352000,20.67,656,-0.39
05/1929,25.66,0.08,0.12,17,0.0350000,20.67,657,-0.38
06/1929,26.15,0.08,0.12,17.1,0.0347000,20.67,658,-0.4
07/1929,28.48,0.08,0.13,17.3,0.0345000,20.67,659,-0.33
08/1929,30.1,0.08,0.13,17.3,0.0342000,20.67,660,-0.3
09/1929,31.3,0.08,0.13,17.3,0.0339000,20.67,661,-0.23
10/1929,27.99,0.08,0.13,17.3,0.0337000,20.67,662,-0.12
11/1929,20.58,0.08,0.13,17.3,0.0334000,20.67,663,-0.11
12/1929,21.4,0.08,0.13,17.2,0.0332000,20.67,664,-0.53
01/1930,21.71,0.08,0.13,17.1,0.0329000,20.67,665,-0.3
02/1930,23.07,0.08,0.13,17,0.0329000,20.67,666,-0.27
03/1930,23.94,0.08,0.12,16.9,0.0330000,20.67,667,-0.08
04/1930,25.46,0.08,0.12,17,0.0330000,20.67,668,-0.25
05/1930,23.94,0.08,0.11,16.9,0.0331000,20.67,669,-0.23
06/1930,21.52,0.08,0.11,16.8,0.0331000,20.67,670,-0.2
07/1930,21.06,0.08,0.1,16.6,0.0332000,20.67,671,-0.19
08/1930,20.79,0.08,0.1,16.5,0.0332000,20.67,672,-0.13
09/1930,20.78,0.08,0.09,16.6,0.0332000,20.67,673,-0.12
10/1930,17.92,0.08,0.09,16.5,0.0333000,20.67,674,-0.08
11/1930,16.62,0.08,0.09,16.4,0.0333000,20.67,675,0.16
12/1930,15.51,0.08,0.08,16.1,0.0334000,20.67,676,-0.06
01/1931,15.98,0.08,0.08,15.9,0.0334000,20.67,677,-0.1
02/1931,17.2,0.08,0.08,15.7,0.0337000,20.67,678,-0.24
03/1931,17.53,0.08,0.07,15.6,0.0340000,20.67,679,-0.08
04/1931,15.86,0.08,0.07,15.5,0.0343000,20.67,680,-0.21
05/1931,14.33,0.08,0.07,15.3,0.0345000,20.67,681,-0.19
06/1931,13.87,0.08,0.07,15.1,0.0348000,20.67,682,-0.07
07/1931,14.33,0.07,0.06,15.1,0.0351000,20.67,683,-0.02
08/1931,13.9,0.07,0.06,15.1,0.0354000,20.67,684,-0.03
09/1931,11.83,0.07,0.06,15,0.0357000,20.67,685,-0.07
10/1931,10.25,0.07,0.06,14.9,0.0360000,20.67,686,0.03
11/1931,10.39,0.07,0.05,14.7,0.0362000,20.67,687,-0.11
12/1931,8.44,0.07,0.05,14.6,0.0365000,20.67,688,-0.09
01/1932,8.3,0.07,0.05,14.3,0.0368000,20.67,689,0.14
02/1932,8.23,0.06,0.05,14.1,0.0365000,20.67,690,-0.18
03/1932,8.26,0.06,0.05,14,0.0362000,20.67,691,-0.19
04/1932,6.28,0.06,0.05,13.9,0.0359000,20.67,692,-0.06
05/1932,5.51,0.06,0.04,13.7,0.0356000,20.67,693,-0.19
06/1932,4.77,0.06,0.04,13.6,0.0353000,20.67,694,-0.3
07/1932,5.01,0.05,0.04,13.6,0.0350000,20.67,695,-0.24
08/1932,7.53,0.05,0.04,13.5,0.0346000,20.67,696,-0.23
09/1932,8.26,0.05,0.04,13.4,0.0343000,20.67,697,-0.11
10/1932,7.12,0.05,0.04,13.3,0.0340000,20.67,698,-0.1
11/1932,7.05,0.04,0.04,13.2,0.0337000,20.67,699,-0.26
12/1932,6.82,0.04,0.03,13.1,0.0334000,20.67,700,-0.25
01/1933,7.09,0.04,0.03,12.9,0.0331000,32.32,701,-0.34
02/1933,6.25,0.04,0.03,12.7,0.0329000,32.32,702,-0.34
03/1933,6.23,0.04,0.03,12.6,0.0328000,32.32,614,-0.3
04/1933,6.89,0.04,0.04,12.6,0.0326000,32.32,615,-0.25
05/1933,8.87,0.04,0.04,12.6,0.0325000,32.32,616,-0.29
06/1933,10.39,0.04,0.04,12.7,0.0323000,32.32,617,-0.34
07/1933,11.23,0.04,0.04,13.1,0.0322000,32.32,618,-0.21
08/1933,10.67,0.04,0.04,13.2,0.0320000,32.32,619,-0.24
09/1933,10.58,0.04,0.04,13.2,0.0318000,32.32,620,-0.27
10/1933,9.55,0.04,0.04,13.2,0.0317000,32.32,621,-0.21
11/1933,9.78,0.04,0.04,13.2,0.0315000,32.32,622,-0.3
12/1933,9.97,0.04,0.04,13.2,0.0314000,32.32,623,-0.46
01/1934,10.54,0.04,0.04,13.2,0.0312000,35,624,-0.25
02/1934,11.32,0.04,0.04,13.3,0.0309000,35,625,-0.04
03/1934,10.74,0.04,0.04,13.3,0.0307000,35,626,-0.33
04/1934,10.92,0.04,0.04,13.3,0.0304000,35,627,-0.3
05/1934,9.81,0.04,0.04,13.3,0.0301000,35,628,-0.11
06/1934,9.94,0.04,0.04,13.4,0.0298000,35,629,-0.15
07/1934,9.47,0.04,0.04,13.4,0.0296000,35,630,-0.1
08/1934,9.1,0.04,0.04,13.4,0.0293000,35,631,-0.11
09/1934,8.88,0.04,0.04,13.6,0.0290000,35,632,-0.16
10/1934,8.95,0.04,0.04,13.5,0.0287000,35,633,-0.08
11/1934,9.2,0.04,0.04,13.5,0.0285000,35,634,0.03
12/1934,9.26,0.04,0.04,13.4,0.0282000,35,635,-0.04
01/1935,9.26,0.04,0.05,13.6,0.0279000,35,636,-0.33
02/1935,8.98,0.04,0.05,13.7,0.0278000,35,637,0.15
03/1935,8.41,0.04,0.06,13.7,0.0277000,35,638,-0.13
04/1935,9.04,0.04,0.06,13.8,0.0276000,35,639,-0.36
05/1935,9.75,0.04,0.07,13.8,0.0274000,35,640,-0.3
06/1935,10.12,0.04,0.07,13.7,0.0273000,35,641,-0.27
07/1935,10.65,0.04,0.07,13.7,0.0272000,35,642,-0.23
08/1935,11.37,0.04,0.06,13.7,0.0271000,35,643,-0.22
09/1935,11.61,0.04,0.06,13.7,0.0270000,35,644,-0.21
10/1935,11.92,0.04,0.06,13.7,0.0269000,35,645,-0.08
11/1935,13.04,0.04,0.06,13.8,0.0267000,35,646,-0.28
12/1935,13.04,0.04,0.06,13.8,0.0266000,35,647,-0.2
01/1936,13.76,0.04,0.06,13.8,0.0265000,35,648,-0.28
02/1936,14.55,0.04,0.07,13.8,0.0265000,35,649,-0.39
03/1936,14.86,0.04,0.07,13.7,0.0266000,35,650,-0.22
04/1936,14.88,0.04,0.07,13.7,0.0266000,35,651,-0.2
05/1936,14.09,0.04,0.07,13.7,0.0266000,35,652,-0.18
06/1936,14.69,0.05,0.07,13.8,0.0266000,35,653,-0.21
07/1936,15.56,0.05,0.08,13.9,0.0267000,35,654,-0.08
08/1936,15.87,0.05,0.08,14,0.0267000,35,655,-0.14
09/1936,16.05,0.05,0.08,14,0.0267000,35,656,-0.09
10/1936,16.89,0.05,0.08,14,0.0267000,35,657,-0.04
11/1936,17.36,0.06,0.08,14,0.0268000,35,658,-0.04
12/1936,17.06,0.06,0.09,14,0.0268000,35,659,-0.03
01/1937,17.59,0.06,0.09,14.1,0.0268000,35,660,-0.13
02/1937,18.11,0.06,0.09,14.1,0.0267000,35,661,0.03
03/1937,18.09,0.06,0.09,14.2,0.0266000,35,662,-0.18
04/1937,17.01,0.07,0.09,14.3,0.0265000,35,663,-0.17
05/1937,16.25,0.07,0.1,14.4,0.0264000,35,664,-0.08
06/1937,15.64,0.07,0.1,14.4,0.0263000,35,665,-0.05
07/1937,16.57,0.07,0.1,14.5,0.0262000,35,666,-0.05
08/1937,16.74,0.07,0.1,14.5,0.0261000,35,667,0.01
09/1937,14.37,0.06,0.1,14.6,0.0260000,35,668,0.11
10/1937,12.28,0.07,0.1,14.6,0.0259000,35,669,0.08
11/1937,11.2,0.07,0.1,14.5,0.0258000,35,670,0.09
12/1937,11.02,0.07,0.09,14.4,0.0257000,35,671,-0.12
01/1938,11.31,0.07,0.09,14.2,0.0256000,35,672,0.01
02/1938,11.04,0.07,0.09,14.1,0.0254000,35,673,-0.02
03/1938,10.31,0.07,0.08,14.1,0.0253000,35,674,0.08
04/1938,9.89,0.06,0.08,14.2,0.0251000,35,675,0.04
05/1938,9.98,0.06,0.07,14.1,0.0249000,35,676,-0.1
06/1938,10.21,0.06,0.06,14.1,0.0248000,35,677,-0.18
07/1938,12.24,0.06,0.06,14.1,0.0246000,35,678,-0.09
08/1938,12.31,0.06,0.06,14.1,0.0244000,35,679,-0.06
09/1938,11.75,0.06,0.05,14.1,0.0243000,35,680,0.02
10/1938,13.06,0.05,0.05,14,0.0241000,35,681,0.11
11/1938,13.07,0.05,0.05,14,0.0239000,35,682,0.03
12/1938,12.69,0.04,0.05,14,0.0238000,35,683,-0.22
01/1939,12.5,0.04,0.06,14,0.0236000,35,684,-0.08
02/1939,12.4,0.04,0.06,13.9,0.0235000,35,685,-0.08
03/1939,12.39,0.04,0.06,13.9,0.0234000,35,686,-0.19
04/1939,10.83,0.04,0.06,13.8,0.0232000,35,687,-0.1
05/1939,11.23,0.04,0.06,13.8,0.0231000,35,688,-0.06
06/1939,11.43,0.04,0.06,13.8,0.0230000,35,689,-0.08
07/1939,11.71,0.05,0.06,13.8,0.0229000,35,690,-0.08
08/1939,11.54,0.05,0.07,13.8,0.0227000,35,691,-0.08
09/1939,12.77,0.05,0.07,14.1,0.0226000,35,692,-0.07
10/1939,12.9,0.05,0.07,14,0.0225000,35,693,-0.03
11/1939,12.67,0.05,0.07,14,0.0224000,35,694,0.05
12/1939,12.37,0.05,0.08,14,0.0222000,35,695,0.44
01/1940,12.3,0.05,0.08,13.9,0.0221000,34.5,696,-0.06
02/1940,12.22,0.05,0.08,14,0.0219000,34.5,697,0.12
03/1940,12.15,0.05,0.08,14,0.0217000,34.5,698,0.15
04/1940,12.27,0.05,0.08,14,0.0215000,34.5,699,0.18
05/1940,10.58,0.05,0.09,14,0.0212000,34.5,700,0.09
06/1940,9.67,0.05,0.09,14.1,0.0210000,34.5,701,0.08
07/1940,9.99,0.05,0.09,14,0.0208000,34.5,702,0.12
08/1940,10.2,0.06,0.09,14,0.0206000,34.5,703,0.04
09/1940,10.63,0.06,0.09,14,0.0204000,34.5,704,0.12
10/1940,10.73,0.06,0.09,14,0.0202000,34.5,705,0.07
11/1940,10.98,0.06,0.09,14,0.0199000,34.5,706,0.17
12/1940,10.53,0.06,0.09,14.1,0.0197000,34.5,707,0.27
01/1941,10.55,0.06,0.09,14.1,0.0195000,35.5,708,0.21
02/1941,9.89,0.06,0.09,14.1,0.0199000,35.5,709,0.33
03/1941,9.95,0.06,0.09,14.2,0.0204000,35.5,710,0.08
04/1941,9.64,0.06,0.09,14.3,0.0208000,35.5,711,0.17
05/1941,9.43,0.06,0.09,14.4,0.0212000,35.5,712,0.14
06/1941,9.76,0.06,0.09,14.7,0.0216000,35.5,713,0.11
07/1941,10.26,0.06,0.09,14.7,0.0221000,35.5,714,0.21
08/1941,10.21,0.06,0.1,14.9,0.0225000,35.5,715,0.14
09/1941,10.24,0.06,0.1,15.1,0.0229000,35.5,716,0.02
